 240,2355,  49,2253,38,7.720,0.017,0.017
 480,2008,  45,1906,35,7.553,0.018,0.018
 720,2021,  45,1919,35,7.559,0.018,0.018
 960,1815,  43,1713,32,7.446,0.019,0.019
1200,1752,  42,1650,32,7.408,0.019,0.019
1440,1641,  41,1539,30,7.339,0.020,0.020
1680,1566,  40,1464,29,7.289,0.020,0.020
1920,1453,  38,1351,28,7.208,0.021,0.021
2160,1422,  38,1320,28,7.185,0.021,0.021
2400,1353,  37,1251,27,7.131,0.021,0.022
2640,1337,  37,1235,26,7.119,0.021,0.022
2880,1314,  36,1212,26,7.100,0.021,0.022
3120,1204,  35,1102,25,7.005,0.022,0.023
3360,1117,  33,1015,23,6.922,0.023,0.023
3600,1111,  33,1009,23,6.916,0.023,0.023
